S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
2,4,6,5,,,,,1,2,3,0,oep739p,65,112.80000000074506,4,0.5,,0,2,-0.5,1,1,SC,16,W,NA
2,4,6,5,,,,,1,2,3,0,oep739p,65,236.80000000074506,5,0.5,,1,NA,-4.5,2,0,SC,16,W,NA
2,3,2,5,,,,,1,2,0,3,oep739p,66,234.5,5,0.5,,1,NA,-1.5,1,0,SC,16,W,NA
2,3,2,5,,,,,1,2,0,3,oep739p,66,258.80000000074506,2,-0.5,,0,2,-3.5,2,1,SC,16,W,NA
4,1,3,3,,,,,2,3,0,1,oep739p,67,198.60000000149012,4,-0.5,,1,2,-2.5,1,0,SC,16,W,NA
4,1,3,3,,,,,2,3,0,1,oep739p,67,0.7000000029802322,3,0.5,,0,1,-1.5,2,1,SC,16,W,NA
4,3,4,4,,,,,0,3,1,2,oep739p,68,481.80000000074506,3,-0.5,,0,1,-1.5,1,1,SC,16,W,NA
4,3,4,4,,,,,0,3,1,2,oep739p,68,110,2,-0.5,,1,2,-0.5,2,0,SC,16,W,NA
2,3,6,3,,,,,0,1,2,3,oep739p,69,506.6000000014901,4,-0.5,,1,2,-0.5,1,0,SC,16,W,NA
2,3,6,3,,,,,0,1,2,3,oep739p,69,298.19999999925494,5,0.5,,0,NA,-3.5,2,1,SC,16,W,NA
5,5,4,5,,,,,0,1,3,2,oep739p,70,2459.800000000745,4,0.5,,0,2,0.5,1,0,SC,16,W,NA
5,5,4,5,,,,,0,1,3,2,oep739p,70,108.60000000149012,2,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
3,5,5,0,,,,,3,1,2,0,oep739p,71,266.70000000298023,2,-0.5,,0,2,2.5,1,0,SC,16,W,NA
3,5,5,0,,,,,3,1,2,0,oep739p,71,205.5,3,-0.5,,1,1,-0.5,2,0,SC,16,W,NA
